SMILES,PKI,KINASE
C=CCOCCC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,7.33,JAK3
CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,6,JAK3
CC(C)=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c(C(=O)O)[nH]c12,6,JAK2
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,9.4,JAK1
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,9.4,JAK3
C=C(C)C(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,8.11,JAK1
C=C(C)C(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,8.11,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,8.7,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,8.7,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,8.3,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,8.3,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,8.08,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,8.08,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,8.82,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,8.82,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,9.23,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,9.23,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4Cl)c23)c1,8.82,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4Cl)c23)c1,8.82,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,9.02,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,9.02,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,8.01,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,8.01,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,8.12,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,8.12,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,8.3,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,8.3,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,8.74,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,8.74,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,8.1,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,8.1,JAK3
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.26,JAK2
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.7,JAK1
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.35,TYK2
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.24,JAK3
CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,6,JAK2
CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,6,JAK3
CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,6.7,JAK2
CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,6.7,JAK3
